Hochschule_Name_GENESIS;Stadt;Bundesland
H für öff. Verw. Rheinland-Pfalz in Mayen (VerwFH);Mayen;Rheinland-Pfalz
H Mittweida (University of Applied Sciences) (FH);Mittweida;Sachsen
H RheinMain in Geisenheim (FH) (ab 2013 zu HS2200);Geisenheim;Hessen
H Ruhr-West in Mülheim (FH);Mülheim an der Ruhr;Nordrhein-Westfalen
H Wilhelmsh./Oldenb./Elsfleth in Elsfleth (FH);Elsfleth;Niedersachsen
H Wilhelmsh./Oldenb./Elsfleth in Wilhelmsh. (FH);Wilhelmshaven;Niedersachsen
Hamburger U für Wirtsch. und Pol. (ab 2005 HS1020);Hamburg;Hamburg
Hess. H f.ö.Man.u.Sich. Wiesb. in Mühlh. (VerwFH);Mühlheim am Main;Hessen
Hess. H f.ö.Man.u.Sich. Wiesb. in Wiesb. (VerwFH);Wiesbaden;Hessen
Hess. H Finanzen und Rechtspfl. in Rotenb.(VerwFH);Rotenburg an der Fulda;Hessen
Hochschule Anhalt in Dessau (FH);Dessau-Roßlau;Sachsen-Anhalt
Hochschule Biberach a. d. Riss (FH);Biberach an der Riß;Baden-Württemberg
Hochschule Esslingen in Esslingen (FH);Esslingen am Neckar;Baden-Württemberg
Hochschule RheinMain in Rüsselsheim (FH);Rüsselsheim am Main;Hessen
Hochschule Schmalkalden (FH);Schmalkalden;Thüringen
Hochschulen im Ausland;Ausland;
IFAA Hochschule Ketsch (Priv. FH);Ketsch;Baden-Württemberg
Int. Business Sch.,Hbg. (Priv.FH) (2015 aufgelöst);Hamburg;Hamburg
Kath. FH Norddeutschl. in Osnabr. (ab 2006 HS5502);Osnabrück;Niedersachsen
Kath. H f.Soz.Arbeit Saarbr. (FH) (2010 aufgelöst);Saarbrücken;Saarland
Kath. Hochschule Freiburg, Campus Freiburg (FH);Freiburg im Breisgau;Baden-Württemberg
Kirchl. H Wupp./Bethel in Beth.(ev)(2023 zu 1140);Bielefeld;Nordrhein-Westfalen
Kirchliche H Bethel (ev) (ab 2007 HS2271);Bielefeld;Nordrhein-Westfalen
Kölner H für Katholische Theologie (K.-Theol. H);Köln;Nordrhein-Westfalen
Merz Akad.H f.Gestalt.,Kunst,Medien,Stuttg.(Pr.FH);Stuttgart;Baden-Württemberg
Naturw.-Techn. Akad. Isny (Priv. FH)(2022 aufgel.);Isny im Allgäu;Baden-Württemberg
Nieders.FH f.Verw.u.R.Hildesh.(A.Verw.)(07 HS0750);Hildesheim;Niedersachsen
Nieders.FH f.Verw.u.R.Hildesh.(Pol.)(07 aufgelöst);Hildesheim;Niedersachsen
Nieders.FH f.Verw.u.R.Hildesh.(R-pfl.)(07 HS0740);Hildesheim;Niedersachsen
P.H f.W./T.Vech./Dph./Old.i.Oldb.(FH)(2018 HS5411);Oldenburg (Oldb);Niedersachsen
Phil.-Theol. H Benediktbeuern (rk)(2016 aufgelöst);Benediktbeuern;Bayern
Philosophisch-Theolog. H Frankfurt a.M. (rk);Frankfurt am Main;Hessen
Priv. FH der Wirt.Paderb.in Gütersl.(2010 aufgel.);Gütersloh;Nordrhein-Westfalen
Priv. FH Schwäb. Hall,H f.Gestalt.(2014 aufgelöst);Schwäbisch Hall;Baden-Württemberg
Priv. wissenschaftliche H Bierbronnen;Grafenhausen;Baden-Württemberg
Priv. wissenschaftliche H Oestrich-Winkel (E.B.S.);Oestrich-Winkel;Hessen
Priv.FH d. Wirt.Paderb.in Marb.(ab 2017 zu HS5901);Marburg;Hessen
Promotionszentr.SusLand Weihenstephan-Triesd. (FH);Triesdorf;Bayern
Promotionszentrum Angewandte Informatik (FH);Deggendorf;Bayern
Promotionszentrum Mat.u. Prod.-technik Nürnb. (FH);Nürnberg;Bayern
Promotionszentrum Mob.und Log. Frankfurt a.M. (FH);Frankfurt am Main;Hessen
Promotionszentrum Soziale Arbeit (FH);München;Bayern
Promotionszentrum Transformation Kempten (FH);Kempten (Allgäu);Bayern
Provadis S. Int.Manag.Techno.Frankfurt a.M.(Pr.FH);Frankfurt am Main;Hessen
Sonstige deutsche Hochschulen;;
Sparkassen H Lichtenwalde(Priv.FH)(2006 aufgelöst);Niederwiesa;Sachsen
SRH Fernhochschule Riedlingen (Priv. FH);Riedlingen;Baden-Württemberg
Staatliche Hochschule für Musik Freiburg i.Br.;Freiburg im Breisgau;Baden-Württemberg
Staatliche Hochschule für Musik Trossingen;Trossingen;Baden-Württemberg
Theol. H Ewersbach in Dietzhölztal (ev) (Priv.);Dietzhölztal;Hessen
Theologische Hochschule Elstal (FH);Wustermark;Brandenburg
Tomorrow U of Appl.Scienc.Frankf.a.M. (Pr.Fern-FH);Frankfurt am Main;Hessen
Universität Halle in Halle;Halle (Saale);Sachsen-Anhalt
UoL-University of Labour Frankfurt a. M. (Priv.FH);Frankfurt am Main;Hessen
Vinzenz Pallotti University Vallendar (K.-Theol.H);Vallendar;Rheinland-Pfalz
Wiss. H f. Unternehmensführung Vallendar (Priv. U);Vallendar;Rheinland-Pfalz
